Serial No.,Name,Links,Genre and Theme,No. of episodes,Rating
1,Fullmetal Alchemist: Brotherhood (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=10216,"adventure,comedy,drama,fantasy,thriller,alchemy,conspiracy,Homunculi,military,steampunk,tragedy,",64,9.09
2,Steins;Gate (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=11770,"adventure,comedy,drama,mystery,psychological,romance,science fiction,thriller,butterfly effect,conspiracy,technology,Time travel,tragedy,",24,9.04
3,Clannad After Story (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=9701,"comedy,drama,psychological,romance,supernatural,bishoujo,coming of age,entering adulthood,family,moe,parenting,tragedy,",25,9.04
4,your name. (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=18171,"comedy,drama,romance,supernatural,amnesia,body switch,iyashikei,natural disaster,tragedy,",1,9.02
5,Rurouni Kenshin: Trust &amp; Betrayal (OAV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=210,"action,drama,romance,historical,revenge,samurai,tragedy,",4,8.97
6,Code Geass: Lelouch of the Rebellion R2 (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=9173,"action,drama,magic,psychological,science fiction,alternate history,conspiracy,immortality,mecha,military,mind control,politics,real robot,revenge,strategic minds,terrorism,tragedy,war,",25,8.93
7,Spirited Away (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=377,"adventure,drama,fantasy,spirits,",1,8.92
8,Cowboy Bebop (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=13,"action,drama,science fiction,bounty hunters,space,space western,",26,8.89
9,Mushishi: The Next Chapter (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=15895,"adventure,drama,mystery,psychological,supernatural,folklore,iyashikei,mythology,nature,spirits,",1,8.89
10,Princess Mononoke (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=197,"adventure,drama,fantasy,deforestation,forest spirit,spirits,",1,8.86
11,(The)' Disappearance of Haruhi Suzumiya (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=11120,"drama,magic,mystery,psychological,science fiction,alternate reality,high school,time travel,",1,8.85
12,(The)' Legend of the Galactic Heroes (OAV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=1786,"drama,science fiction,military,politics,space,space battles,space navy,war,",110,8.82
13,Mushi-Shi (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=5923,"adventure,mystery,psychological,slice of life,supernatural,folklore,iyashikei,mythology,nature,spirits,",26,8.79
14,A Silent Voice (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=16661,"comedy,drama,psychological,romance,bullying,deafness,friendship,School life,suicide,",1,8.78
15,Death Note (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6592,"drama,mystery,psychological,supernatural,thriller,crime,death,detective,justice,Magic Book,police,shinigami,",37,8.78
16,Maria Watches Over Us 3rd Season (OAV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6113,"slice of life,shoujo-ai,",5,8.76
17,Maria Watches Over Us Season 2: Printemps (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=4175,"slice of life,shoujo-ai,yuri,",13,8.74
18,Code Geass: Lelouch of the Rebellion (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6704,"action,drama,magic,psychological,science fiction,Alternate history,immortality,mecha,military,mind control,politics,real robot,school,strategic minds,terrorism,war,",25,8.74
19,Made in Abyss (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=18952,"adventure,drama,fantasy,psychological,science fiction,demi-humans,exploration,nature,post-apocalyptic,robots,wild beasts,",13,8.71
20,Monster (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=3750,"drama,horror,mystery,psychological,thriller,amnesia,crime,detective,medicine,nazis,police,serial killer,tragedy,",74,8.71
21,anohana: The Flower We Saw That Day (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=12368,"drama,romance,supernatural,ghosts,growing up,love triangle,",11,8.7
22,Evangelion: 2.0 You Can (Not) Advance (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=8421,"action,drama,psychological,science fiction,mecha,military,post-apocalyptic,",1,8.7
23,Bunny Drop (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=12398,"comedy,slice of life,adoption,family,iyashikei,parenting,single parents,taking care of a child,",11,8.7
24,Maria Watches Over Us 4th Season (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=9210,"drama,shoujo-ai,",13,8.7
25,Gintama' (TV 2/2011),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=12835,"action,comedy,drama,science fiction,aliens,parody,samurai,space,",51,8.69
26,Ghost in the Shell: Stand Alone Complex 2nd GIG (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=8495,"action,drama,psychological,science fiction,android,crime,cyberpunk,military,police,politics,virtual reality,",26,8.67
27,Gintama (TV 4/2015),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=16644,"action,comedy,drama,Historical,Parody,Samurai,",51,8.67
28,Grave of the Fireflies (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=152,"drama,historical,tragedy,war,World War II,",1,8.66
29,Gintama' (TV 3/2012),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=15223,"action,comedy,drama,science fiction,Aliens,Historical,Parody,Samurai,",13,8.66
30,Fruits Basket the Final (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=23980,"drama,romance,supernatural,",1,8.65
31,Hajime no Ippo (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=1139,"action,comedy,drama,tournament,boxing,coming-of-age,sports,",76,8.65
32,Fullmetal Alchemist (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=2960,"adventure,comedy,drama,fantasy,alchemy,Homunculi,military,steampunk,tragedy,",51,8.65
33,Nausicaä of the Valley of the Wind (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=180,"adventure,drama,fantasy,science fiction,giant insects,post-apocalyptic,",1,8.64
34,Cross Game (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=10580,"drama,romance,tournament,baseball,school,sports,tsundere,",50,8.63
35,Summer Wars (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=10544,"adventure,comedy,drama,romance,science fiction,thriller,computers,family,social-networking,technology,virtual reality,",1,8.63
36,(The)' Girl Who Leapt Through Time (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6733,"adventure,comedy,drama,romance,science fiction,school,time travel,",1,8.63
